trade_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl_usd,tp1_usd,tp2_usd,tp3_usd,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,max_level_reached,sl_pips,tp1_pips,tp2_pips,tp3_pips,month,week_no,margin_used,score
a6fe3533-a781-43ec-b9ad-136a4dece466,GBPJPYm,SELL,2026,Asia,A,213.919,214.419,213.419,212.919,212.419,213.919,-13.32,13.32,26.64,39.96,0.04,333,2026-05-01 05:33:00 IST,557,2026-05-01 09:17:00 IST,CLOSED,WIN,16.35,212.419,tp3,tp3,50.0,50.0,100.0,150.0,5,1,20.0,83.8
f31772ce-783d-4a5d-83c9-4763f7f2967f,GBPJPYm,SELL,2026,Asia,C,214.169,214.669,213.669,213.169,212.669,214.169,-13.32,13.32,26.64,39.96,0.04,333,2026-05-01 05:33:00 IST,1637,2026-05-04 03:30:00 IST,CLOSED,CANCELLED,0.0,214.169,expired_2_days,none,50.0,50.0,100.0,150.0,5,1,20.0,78.8
58c2db24-28be-4ce3-84bc-7111955d6595,GBPJPYm,BUY,2026,Asia,A,213.45,212.95,213.95,214.45,214.95,213.45,-13.32,13.32,26.64,39.96,0.04,1760,2026-05-04 05:33:00 IST,1802,2026-05-04 06:15:00 IST,CLOSED,LOSS,-9.37,212.95,sl_hit,sl_hit,50.0,50.0,100.0,150.0,5,1,20.0,83.8
24e0053e-4cff-424e-bb7b-c348164d1d7c,GBPJPYm,BUY,2026,Asia,C,213.2,212.7,213.7,214.2,214.7,213.2,-13.32,13.32,26.64,39.96,0.04,1802,2026-05-04 06:15:00 IST,1802,2026-05-04 06:15:00 IST,CLOSED,LOSS,-9.38,212.7,sl_hit,sl_hit,50.0,50.0,100.0,150.0,5,1,20.0,78.8
96d43256-533d-4269-a7cd-163453a6bdf5,GBPJPYm,BUY,2026,Asia,A,212.637,212.137,213.137,213.637,214.137,212.637,-13.32,13.32,26.64,39.96,0.04,3188,2026-05-05 05:33:00 IST,3546,2026-05-05 11:31:00 IST,CLOSED,WIN,11.75,213.137,tp1,tp2,50.0,50.0,100.0,150.0,5,1,20.0,83.8
33d9b4bc-95a9-4832-b329-d5ad51cd21b0,GBPJPYm,SELL,2026,Asia,A,214.124,214.624,213.624,213.124,212.624,214.124,-13.32,13.32,26.64,39.96,0.04,4619,2026-05-06 05:33:00 IST,4708,2026-05-06 07:02:00 IST,CLOSED,WIN,16.35,212.624,tp3,tp3,50.0,50.0,100.0,150.0,5,1,20.0,83.8
bc5f9191-b347-4f57-8d85-0cc8ed85e984,GBPJPYm,BUY,2026,Asia,C,212.387,211.887,212.887,213.387,213.887,212.387,-13.32,13.32,26.64,39.96,0.04,4708,2026-05-06 07:02:00 IST,4714,2026-05-06 07:08:00 IST,CLOSED,LOSS,-9.42,211.887,sl_hit,sl_hit,50.0,50.0,100.0,150.0,5,1,20.0,78.8
c3a8c942-28f5-4fbd-8eb3-cd4b9b8cb849,GBPJPYm,SELL,2026,Asia,C,214.374,214.874,213.874,213.374,212.874,214.374,-13.32,13.32,26.64,39.96,0.04,4619,2026-05-06 05:33:00 IST,7359,2026-05-08 03:30:00 IST,CLOSED,CANCELLED,0.0,214.374,expired_2_days,none,50.0,50.0,100.0,150.0,5,1,20.0,78.8
6f2949d1-402f-4777-b372-227085233fb7,GBPJPYm,BUY,2026,Asia,A,212.657,212.157,213.157,213.657,214.157,212.657,-13.32,13.32,26.64,39.96,0.04,6050,2026-05-07 05:33:00 IST,8558,2026-05-10 23:38:00 IST,CLOSED,WIN,11.75,213.157,tp1,tp2,50.0,50.0,100.0,150.0,5,1,20.0,83.8
a4c42bf2-b553-4100-9e5c-607bb1c74d15,GBPJPYm,BUY,2026,Asia,A,212.676,212.176,213.176,213.676,214.176,212.676,-13.32,13.32,26.64,39.96,0.04,7482,2026-05-08 05:33:00 IST,8558,2026-05-10 23:38:00 IST,CLOSED,WIN,11.75,213.176,tp1,tp2,50.0,50.0,100.0,150.0,5,2,20.0,83.8
673cf74f-6c8a-49fd-8d88-7a8781757a02,GBPJPYm,BUY,2026,Asia,B,212.505,212.005,213.005,213.505,214.005,212.505,-13.32,13.32,26.64,39.96,0.04,7482,2026-05-08 05:33:00 IST,8558,2026-05-10 23:38:00 IST,CLOSED,WIN,11.77,213.005,tp1,tp2,50.0,50.0,100.0,150.0,5,2,20.0,98.8
