trade_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl_usd,tp1_usd,tp2_usd,tp3_usd,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,max_level_reached,sl_pips,tp1_pips,tp2_pips,tp3_pips,month,week_no,margin_used,score
fd131dbc-32fb-49df-a7f9-0b56e12d11f6,XAUUSD,SELL,2026,Asia,A,4354.03,4355.53,4352.53,4351.03,4349.53,4354.03,-1.5,1.5,3.0,4.5,0.01,284,2026-01-02 05:45:00 IST,284,2026-01-02 05:45:00 IST,CLOSED,WIN,2.62,4349.53,tp3,tp3,150.0,150.0,300.0,450.0,1,1,21.77,78.8
7f7a9fcd-821a-418f-ba56-e9fe330659d2,XAUUSD,SELL,2026,Asia,C,4354.98,4356.48,4353.48,4351.98,4350.48,4354.98,-1.5,1.5,3.0,4.5,0.01,377,2026-01-02 07:18:00 IST,378,2026-01-02 07:19:00 IST,CLOSED,BREAKEVEN,0.76,4354.96,breakeven,tp1,150.0,150.0,300.0,450.0,1,1,21.77,73.8
ae39b948-1225-4d29-83ac-2aea77f62932,XAUUSD,SELL,2026,Asia,A,4395.13,4396.63,4393.63,4392.13,4390.63,4395.13,-1.5,1.5,3.0,4.5,0.01,1664,2026-01-05 05:45:00 IST,1664,2026-01-05 05:45:00 IST,CLOSED,LOSS,-1.5,4396.63,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,21.98,78.8
8c995b2f-a2ae-43d7-b85d-2bd3685f84e0,XAUUSD,SELL,2026,Asia,C,4396.08,4397.58,4394.58,4393.08,4391.58,4396.08,-1.5,1.5,3.0,4.5,0.01,1709,2026-01-05 06:30:00 IST,1709,2026-01-05 06:30:00 IST,CLOSED,LOSS,-1.5,4397.58,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,21.98,73.8
3f55aa8d-3672-41f4-998e-4f7bf2d55f34,XAUUSD,SELL,2026,Asia,A,4436.45,4437.95,4434.95,4433.45,4431.95,4436.45,-1.5,1.5,3.0,4.5,0.01,3044,2026-01-06 05:45:00 IST,3044,2026-01-06 05:45:00 IST,CLOSED,LOSS,-1.5,4437.95,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,22.18,78.8
fcf58d45-b3d5-4795-a8a0-1f68e2fac9e8,XAUUSD,SELL,2026,Asia,C,4437.4,4438.9,4435.9,4434.4,4432.9,4437.4,-1.5,1.5,3.0,4.5,0.01,3089,2026-01-06 06:30:00 IST,3089,2026-01-06 06:30:00 IST,CLOSED,LOSS,-1.5,4438.9,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,22.19,73.8
caf0529f-5c04-4da0-9745-312bdbea59a1,XAUUSD,SELL,2026,Asia,A,4491.94,4493.44,4490.44,4488.94,4487.44,4491.94,-1.5,1.5,3.0,4.5,0.01,4424,2026-01-07 05:45:00 IST,4424,2026-01-07 05:45:00 IST,CLOSED,WIN,2.62,4487.44,tp3,tp3,150.0,150.0,300.0,450.0,1,2,22.46,78.8
04398f9f-b7f0-41d7-aee2-70a76206ceb3,XAUUSD,BUY,2026,Asia,B,4462.325,4460.825,4463.825,4465.325,4466.825,4462.325,-1.5,1.5,3.0,4.5,0.01,4424,2026-01-07 05:45:00 IST,4424,2026-01-07 05:45:00 IST,CLOSED,WIN,2.62,4466.825,tp3,tp3,150.0,150.0,300.0,450.0,1,2,22.31,93.8
5e49c605-645d-43f5-a0fd-dc958345a4ee,XAUUSD,BUY,2026,Asia,A,4450.25,4448.75,4451.75,4453.25,4454.75,4450.25,-1.5,1.5,3.0,4.5,0.01,5804,2026-01-08 05:45:00 IST,5804,2026-01-08 05:45:00 IST,CLOSED,WIN,2.62,4454.75,tp3,tp3,150.0,150.0,300.0,450.0,1,2,22.25,78.8
a7a342bb-52b2-415c-976a-eb5c5a2fd82a,XAUUSD,BUY,2026,Asia,B,4436.255,4434.755,4437.755,4439.255,4440.755,4436.255,-1.5,1.5,3.0,4.5,0.01,5804,2026-01-08 05:45:00 IST,5804,2026-01-08 05:45:00 IST,CLOSED,WIN,2.62,4440.755,tp3,tp3,150.0,150.0,300.0,450.0,1,2,22.18,93.8
01fba0ba-8514-4d66-bf8e-9a68013de951,XAUUSD,BUY,2026,Asia,C,4449.3,4447.8,4450.8,4452.3,4453.8,4449.3,-1.5,1.5,3.0,4.5,0.01,5849,2026-01-08 06:30:00 IST,5849,2026-01-08 06:30:00 IST,CLOSED,LOSS,-1.5,4447.8,sl_hit,sl_hit,150.0,150.0,300.0,450.0,1,2,22.25,73.8
