trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,entry,sl,tp1,tp2,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,sl_pips,tp1_pips,tp2_pips
0969db4b-1a2f-4ba5-8b6e-122539fce8f9,f7646246-e1f3-4fe8-af15-ea4db7e166a7,EURUSD,SELL,2024,Asia,A,1.1038,1.1066,1.101,1.0982,1.1038,1.1066,1.101,1.0982,0.01,195,2024-01-02 00:15:00+00:00,798,2024-01-02 10:18:00+00:00,CLOSED,WIN,4.2,1.0982,TP2_HIT,28.0,28.0,56.0
907bc98f-ea6b-4427-ba0f-73a87c2b8c9c,bbbb1604-dbc0-4e61-b3af-a603248cf32b,EURUSD,SELL,2024,Asia,B,1.1063,1.1091,1.1035,1.1007,1.1063,1.1091,1.1035,1.1007,0.01,195,2024-01-02 00:15:00+00:00,1499,2024-01-02 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.1063,EXPIRED_DAY_END,28.0,28.0,56.0
f9c40e2b-31ab-4927-aca0-f76b1d5103ca,cc7fc3f9-061d-4d47-a046-eae7276e8599,EURUSD,BUY,2024,Asia,A,1.09508,1.09125,1.09891,1.10275,1.09508,1.09125,1.09891,1.10275,0.01,4513,2024-01-05 00:15:00+00:00,4950,2024-01-05 07:32:00+00:00,CLOSED,LOSS,-3.83,1.09125,SL_HIT,38.3,38.3,76.7
02a99150-bcf5-4ed8-8781-1b5a2a54d739,75b4e034-c0a3-4435-985d-6dd7efdfb6fe,EURUSD,BUY,2024,Asia,B,1.09258,1.08875,1.09641,1.10025,1.09258,1.08875,1.09641,1.10025,0.01,4834,2024-01-05 05:36:00+00:00,5248,2024-01-05 12:30:00+00:00,CLOSED,LOSS,-3.83,1.08875,SL_HIT,38.3,38.3,76.7
788b205e-ef05-42a6-a4e1-0dc67e6d2529,eb8c77cf-2134-4890-a110-84da53106a0a,EURUSD,BUY,2024,Asia,A,1.09551,1.09125,1.09977,1.10402,1.09551,1.09125,1.09977,1.10402,0.01,7390,2024-01-09 00:15:00+00:00,8284,2024-01-09 15:09:00+00:00,CLOSED,LOSS,-4.26,1.09125,SL_HIT,42.6,42.6,85.1
460f4405-63f5-4653-8b27-948567a67636,294495c2-b891-4861-9796-cfcf87743cca,EURUSD,BUY,2024,Asia,B,1.09056,1.08682,1.0943,1.09805,1.09056,1.08682,1.0943,1.09805,0.01,8829,2024-01-10 00:15:00+00:00,10134,2024-01-10 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09056,EXPIRED_DAY_END,37.4,37.4,74.9
c08805f8-5f8d-4fc8-a3a2-3910232d4432,174b35ca-eec4-4b1e-8774-aee5a993ed48,EURUSD,BUY,2024,Asia,A,1.09306,1.08932,1.0968,1.10055,1.09306,1.08932,1.0968,1.10055,0.01,8829,2024-01-10 00:15:00+00:00,11028,2024-01-11 12:54:00+00:00,CLOSED,BREAKEVEN,2.12,1.09356,SL_HIT,37.4,37.4,74.9
b3e9d05e-b6ac-450d-86a7-90a2c12332a0,0d0f40e0-ea2f-42c4-90f5-8ee76309fcf6,EURUSD,BUY,2024,London,B,1.09301,1.08875,1.09727,1.10152,1.09301,1.08875,1.09727,1.10152,0.01,8006,2024-01-09 10:31:00+00:00,11035,2024-01-11 13:01:00+00:00,CLOSED,BREAKEVEN,2.38,1.09351,SL_HIT,42.6,42.6,85.1
cf165237-5b41-45a5-bcb7-a2c02962d270,53c855be-dc01-4e4c-bc20-333b148ba0bc,EURUSD,BUY,2024,Asia,A,1.09755,1.094,1.1011,1.10466,1.09755,1.094,1.1011,1.10466,0.01,11709,2024-01-12 00:15:00+00:00,12400,2024-01-12 11:46:00+00:00,CLOSED,LOSS,-3.55,1.094,SL_HIT,35.5,35.5,71.1
22e9ac50-c9c8-4893-8fd3-47be8b83616b,e81a6f8e-7adc-4da5-b519-fbc078e3f744,EURUSD,BUY,2024,London,B,1.09505,1.0915,1.0986,1.10216,1.09505,1.0915,1.0986,1.10216,0.01,12334,2024-01-12 10:40:00+00:00,12655,2024-01-12 16:01:00+00:00,CLOSED,BREAKEVEN,2.02,1.09555,SL_HIT,35.5,35.5,71.1
