trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,entry,sl,tp1,tp2,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,sl_pips,tp1_pips,tp2_pips
6cc03fe2-488e-4e6c-999a-b601758bbe2f,bf7c7c39-88da-4be6-bdde-b7c133268c74,EURUSD,SELL,2024,Asia,A,1.1038,1.1066,1.101,1.0982,1.1038,1.1066,1.101,1.0982,0.01,195,2024-01-02 00:15:00+00:00,798,2024-01-02 10:18:00+00:00,CLOSED,WIN,4.2,1.0982,TP2_HIT,28.0,28.0,56.0
1df23b65-2800-4167-be7f-c22b8ef3f146,5d73abcb-2e03-4d8e-b205-c30b04f210c2,EURUSD,SELL,2024,Asia,B,1.1063,1.1091,1.1035,1.1007,1.1063,1.1091,1.1035,1.1007,0.01,195,2024-01-02 00:15:00+00:00,1499,2024-01-02 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.1063,EXPIRED_DAY_END,28.0,28.0,56.0
e866db39-0516-4780-b144-e5b010ea2f24,f34bf026-3086-44dc-942b-314ca48b3607,EURUSD,SELL,2024,Asia,A,1.09508,1.09891,1.09125,1.08741,1.09508,1.09891,1.09125,1.08741,0.01,4513,2024-01-05 00:15:00+00:00,5305,2024-01-05 13:27:00+00:00,CLOSED,BREAKEVEN,2.17,1.09458,SL_HIT,38.3,38.3,76.7
13a28e4b-7e14-4f93-83c0-3cce154ff306,ede194c8-7381-405d-838c-2d0edf228815,EURUSD,SELL,2024,London,B,1.09758,1.10141,1.09375,1.08991,1.09758,1.10141,1.09375,1.08991,0.01,5338,2024-01-05 14:00:00+00:00,6793,2024-01-08 14:18:00+00:00,CLOSED,BREAKEVEN,2.17,1.09708,SL_HIT,38.3,38.3,76.7
dc6bb572-d4fa-41d1-be05-b869dcfeb903,c0c8c769-7005-44dc-9e30-551b6099816f,EURUSD,SELL,2024,Asia,B,1.09801,1.10227,1.09375,1.0895,1.09801,1.10227,1.09375,1.0895,0.01,7390,2024-01-09 00:15:00+00:00,8694,2024-01-09 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09801,EXPIRED_DAY_END,42.6,42.6,85.1
d110bb91-9c71-42de-b9a8-ba8d1d0c6031,7db8a86d-a32a-41f3-ac50-ea6972b4369c,EURUSD,SELL,2024,Asia,A,1.09551,1.09977,1.09125,1.087,1.09551,1.09977,1.09125,1.087,0.01,7390,2024-01-09 00:15:00+00:00,9331,2024-01-10 08:37:00+00:00,CLOSED,BREAKEVEN,2.38,1.09501,SL_HIT,42.6,42.6,85.1
0739e36d-0134-482c-9802-9418e0b2a23b,00a710a5-fc62-4244-ad1e-15943bb36cff,EURUSD,BUY,2024,Asia,A,1.09306,1.08932,1.0968,1.10055,1.09306,1.08932,1.0968,1.10055,0.01,8829,2024-01-10 00:15:00+00:00,11028,2024-01-11 12:54:00+00:00,CLOSED,BREAKEVEN,2.12,1.09356,SL_HIT,37.4,37.4,74.9
d73906f0-5ec3-4ade-a55f-06d98cb7d8f1,0e92a740-5c27-474b-ab16-0043312ad367,EURUSD,BUY,2024,Asia,A,1.09755,1.094,1.1011,1.10466,1.09755,1.094,1.1011,1.10466,0.01,11709,2024-01-12 00:15:00+00:00,12400,2024-01-12 11:46:00+00:00,CLOSED,LOSS,-3.55,1.094,SL_HIT,35.5,35.5,71.1
cab17665-d577-4cb1-a3cd-b0437bf36975,6b2acdf7-df71-4f2d-be76-c2001e07e26d,EURUSD,BUY,2024,London,B,1.09505,1.0915,1.0986,1.10216,1.09505,1.0915,1.0986,1.10216,0.01,12334,2024-01-12 10:40:00+00:00,12655,2024-01-12 16:01:00+00:00,CLOSED,BREAKEVEN,2.02,1.09555,SL_HIT,35.5,35.5,71.1
3ca6795b-407f-4500-8151-68afa0b7d16b,512e1f78-a3fa-4781-80f8-6bd2a60fc0f9,EURUSD,BUY,2024,Asia,A,1.08777,1.08482,1.09072,1.09367,1.08777,1.08482,1.09072,1.09367,0.01,16026,2024-01-17 00:15:00+00:00,16849,2024-01-17 13:58:00+00:00,CLOSED,LOSS,-2.95,1.08482,SL_HIT,29.5,29.5,59.0
7b539608-0750-4e1b-b869-2e2f34e25448,9e8d6b75-7f39-4e55-a65b-acaf4dcca851,EURUSD,BUY,2024,London,B,1.08527,1.08232,1.08822,1.09117,1.08527,1.08232,1.08822,1.09117,0.01,16762,2024-01-17 12:31:00+00:00,18201,2024-01-18 12:30:00+00:00,CLOSED,BREAKEVEN,1.73,1.08577,SL_HIT,29.5,29.5,59.0
4a7451f5-ccea-48c9-ab91-7de93b678e9b,76b53242-f66e-485a-985a-7dc22a021fda,EURUSD,BUY,2024,Asia,A,1.0901,1.08748,1.09272,1.09534,1.0901,1.08748,1.09272,1.09534,0.01,20344,2024-01-22 00:15:00+00:00,22357,2024-01-23 09:48:00+00:00,CLOSED,LOSS,-2.62,1.08748,SL_HIT,26.2,26.2,52.4
87d56738-1926-47b9-a668-5dffeceabec6,02deeadd-403c-48ec-b4dc-c7d6b04f9b49,EURUSD,SELL,2024,Asia,A,1.08954,1.09454,1.08454,1.07954,1.08954,1.09454,1.08454,1.07954,0.01,17466,2024-01-18 00:15:00+00:00,23712,2024-01-24 08:23:00+00:00,CLOSED,BREAKEVEN,2.75,1.08904,SL_HIT,50.0,50.0,100.0
775014b2-6b92-4ef8-8022-385a6fc56bd2,48a44a8a-6fba-437e-ad36-ba4dc724acc6,EURUSD,BUY,2024,Asia,A,1.0874,1.08425,1.09055,1.0937,1.0874,1.08425,1.09055,1.0937,0.01,24663,2024-01-25 00:15:00+00:00,25505,2024-01-25 14:17:00+00:00,CLOSED,LOSS,-3.15,1.08425,SL_HIT,31.5,31.5,63.0
ed4b2767-c9df-40c6-8b52-975d18f68695,a8d6e0b7-4158-464e-bfb3-9f3dbe7eacdf,EURUSD,BUY,2024,London,B,1.0849,1.08175,1.08805,1.0912,1.0849,1.08175,1.08805,1.0912,0.01,25494,2024-01-25 14:06:00+00:00,26456,2024-01-26 06:16:00+00:00,CLOSED,LOSS,-3.15,1.08175,SL_HIT,31.5,31.5,63.0
36db033e-5248-4e47-9762-f93ba2174f9b,0628296b-6a56-4467-9de0-c213f054d3a2,EURUSD,BUY,2024,Asia,A,1.08398,1.08063,1.08733,1.09068,1.08398,1.08063,1.08733,1.09068,0.01,26095,2024-01-26 00:15:00+00:00,27339,2024-01-28 21:00:00+00:00,CLOSED,BREAKEVEN,1.92,1.08448,SL_HIT,33.5,33.5,67.0
c517f9d5-cf0f-4709-a34b-991a1f7e5253,39513c5b-0abd-41e1-a94d-39da0ce89e3a,EURUSD,BUY,2024,Asia,A,1.08446,1.08076,1.08816,1.09186,1.08446,1.08076,1.08816,1.09186,0.01,27534,2024-01-29 00:15:00+00:00,28330,2024-01-29 13:31:00+00:00,CLOSED,LOSS,-3.7,1.08076,SL_HIT,37.0,37.0,74.0
bc255116-5ce3-4c1c-a939-d887a42e8a69,da5ce17f-b0f5-4561-ad5f-47e9905b98ef,EURUSD,BUY,2024,London,B,1.08196,1.07826,1.08566,1.08936,1.08196,1.07826,1.08566,1.08936,0.01,28079,2024-01-29 09:20:00+00:00,30463,2024-01-31 01:05:00+00:00,CLOSED,BREAKEVEN,2.1,1.08246,SL_HIT,37.0,37.0,74.0
f3024dac-8cc0-44ac-89e7-14cb343d2439,80538f2b-270c-4227-8e52-334b1bad21c3,EURUSD,BUY,2024,Asia,A,1.08407,1.08013,1.08801,1.09196,1.08407,1.08013,1.08801,1.09196,0.01,28973,2024-01-30 00:15:00+00:00,31325,2024-01-31 15:27:00+00:00,CLOSED,BREAKEVEN,2.22,1.08457,SL_HIT,39.4,39.4,78.9
8a7fe7cc-a8e7-4ba7-aa20-43dc7d00ce43,8225f5af-9adf-44e4-a224-3afafa687cfc,EURUSD,BUY,2024,London,B,1.07831,1.07484,1.08178,1.08525,1.07831,1.07484,1.08178,1.08525,0.01,32265,2024-02-01 07:07:00+00:00,32770,2024-02-01 15:32:00+00:00,CLOSED,WIN,5.2,1.08525,TP2_HIT,34.7,34.7,69.4
64b6e438-1e3b-44ff-a489-8f6c42af31ac,d0ecf582-0eb1-4dbf-ba42-84ba8afac6fa,EURUSD,BUY,2024,Asia,A,1.08081,1.07734,1.08428,1.08775,1.08081,1.07734,1.08428,1.08775,0.01,31853,2024-02-01 00:15:00+00:00,33228,2024-02-01 23:10:00+00:00,CLOSED,WIN,5.2,1.08775,TP2_HIT,34.7,34.7,69.4
