trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips,tp3_pips
94b11606-1e03-4ec3-b846-6d339eac7108,81a3b12c-a671-418b-889c-194974173c56,EURUSD,SELL,2024,Asia,A,1.1038,1.1066,1.101,1.0982,1.0954,1.1038,1.1066,1.101,1.0982,1.0954,0.01,195,2024-01-02 00:15:00+00:00,898,2024-01-02 11:58:00+00:00,CLOSED,WIN,4.9,1.0954,TP3_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.0,28.0,56.0,84.0
0c9f1e91-9421-419c-9ad9-bdc94a665db6,17619cdb-422e-423f-8bb1-758fe5dfcd84,EURUSD,SELL,2024,Asia,B,1.1063,1.1091,1.1035,1.1007,1.0979,1.1063,1.1091,1.1035,1.1007,1.0979,0.01,195,2024-01-02 00:15:00+00:00,1499,2024-01-02 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.1063,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,28.0,28.0,56.0,84.0
54cdd1c0-a129-48f6-bb55-938cabf41803,f8e5066b-dcbe-47a6-bffe-635d2b9114cd,EURUSD,BUY,2024,Asia,A,1.09508,1.09125,1.09891,1.10275,1.10658,1.09508,1.09125,1.09891,1.10275,1.10658,0.01,4513,2024-01-05 00:15:00+00:00,4950,2024-01-05 07:32:00+00:00,CLOSED,LOSS,-3.83,1.09125,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,38.3,38.3,76.7,115.0
c81b08c9-90af-4cee-bd66-28b956ee7a7f,88de3a11-299f-4ff8-9391-c7bcbc77be5c,EURUSD,BUY,2024,Asia,B,1.09258,1.08875,1.09641,1.10025,1.10408,1.09258,1.08875,1.09641,1.10025,1.10408,0.01,4834,2024-01-05 05:36:00+00:00,5248,2024-01-05 12:30:00+00:00,CLOSED,LOSS,-3.83,1.08875,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,38.3,38.3,76.7,115.0
0067ce65-a5e9-4775-8703-d81a498fb048,1593f8df-02b6-42e3-98a8-b25db6baae57,EURUSD,BUY,2024,Asia,A,1.09551,1.09125,1.09977,1.10402,1.10828,1.09551,1.09125,1.09977,1.10402,1.10828,0.01,7390,2024-01-09 00:15:00+00:00,8284,2024-01-09 15:09:00+00:00,CLOSED,LOSS,-4.26,1.09125,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,42.6,42.6,85.1,127.7
62395f01-71b0-4e40-8e31-2bf117addf07,70b6a9e1-656b-41af-8491-3bbc51808d45,EURUSD,BUY,2024,Asia,B,1.09056,1.08682,1.0943,1.09805,1.10179,1.09056,1.08682,1.0943,1.09805,1.10179,0.01,8829,2024-01-10 00:15:00+00:00,10134,2024-01-10 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09056,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,37.4,37.4,74.9,112.3
4910beee-ccc1-4610-93ce-8f553524b360,3732a447-56df-42ec-8066-85c008402df2,EURUSD,BUY,2024,London,B,1.09301,1.08875,1.09727,1.10152,1.10578,1.09301,1.08875,1.09727,1.10152,1.10578,0.01,8006,2024-01-09 10:31:00+00:00,11039,2024-01-11 13:05:00+00:00,CLOSED,BREAKEVEN,2.23,1.09321,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,42.6,42.6,85.1,127.7
a942c48f-a173-490f-a3a6-6115b7c001ce,624c3777-e29a-407d-b864-101c291736c3,EURUSD,BUY,2024,Asia,A,1.09306,1.08932,1.0968,1.10055,1.10429,1.09306,1.08932,1.0968,1.10055,1.10429,0.01,8829,2024-01-10 00:15:00+00:00,11039,2024-01-11 13:05:00+00:00,CLOSED,BREAKEVEN,1.97,1.09326,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,37.4,37.4,74.9,112.3
1364c91c-7630-446e-9a64-309877576f36,6788613c-f994-444e-85eb-4fe31c1cf1ce,EURUSD,BUY,2024,Asia,A,1.09755,1.094,1.1011,1.10466,1.10821,1.09755,1.094,1.1011,1.10466,1.10821,0.01,11709,2024-01-12 00:15:00+00:00,12400,2024-01-12 11:46:00+00:00,CLOSED,LOSS,-3.55,1.094,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.1,106.6
c9998cf9-4c44-4eb7-870d-64aa45f965fa,238f3651-c595-4821-be87-e2ddbbe1c693,EURUSD,BUY,2024,London,B,1.09505,1.0915,1.0986,1.10216,1.10571,1.09505,1.0915,1.0986,1.10216,1.10571,0.01,12334,2024-01-12 10:40:00+00:00,12661,2024-01-12 16:07:00+00:00,CLOSED,BREAKEVEN,1.87,1.09525,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.1,106.6
