trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips
99720597-2bf0-4745-b6eb-beb77ea761e5,38e98f37-48f2-498a-bf98-40c070d41e76,EURUSD,SELL,2024,Asia,A,1.1038,1.1066,1.101,1.0982,1.0954,1.1038,1.1066,1.101,1.0982,1.0954,0.01,195,2024-01-02 00:15:00+00:00,898,2024-01-02 11:58:00+00:00,CLOSED,WIN,4.9,1.0954,TP3_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,28.0,28.0,56.0
56892c9a-0cd3-4e2a-bf2e-ec25490eae09,12d1083e-3aae-4791-908c-590dbdc052d8,EURUSD,SELL,2024,Asia,B,1.1063,1.1091,1.1035,1.1007,1.0979,1.1063,1.1091,1.1035,1.1007,1.0979,0.01,195,2024-01-02 00:15:00+00:00,1499,2024-01-02 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.1063,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,28.0,28.0,56.0
9ccadf5c-878e-4e7c-a368-9619622315de,23fcc042-9bea-4ded-80a9-2c7db94fdb7e,EURUSD,BUY,2024,Asia,A,1.09508,1.09125,1.09891,1.10275,1.10658,1.09508,1.09125,1.09891,1.10275,1.10658,0.01,4513,2024-01-05 00:15:00+00:00,4950,2024-01-05 07:32:00+00:00,CLOSED,LOSS,-3.83,1.09125,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,38.3,38.3,76.7
3aaede2e-47ac-4f3c-b76e-cda2e10070e2,13f21cb9-8535-4979-86d4-5c469f03a0ed,EURUSD,BUY,2024,Asia,B,1.09258,1.08875,1.09641,1.10025,1.10408,1.09258,1.08875,1.09641,1.10025,1.10408,0.01,4834,2024-01-05 05:36:00+00:00,5248,2024-01-05 12:30:00+00:00,CLOSED,LOSS,-3.83,1.08875,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,38.3,38.3,76.7
7b4818df-1a9b-41c0-823d-9920c9f72840,854791ef-0251-4315-906c-6fa62c5b24f5,EURUSD,BUY,2024,Asia,A,1.09551,1.09125,1.09977,1.10402,1.10828,1.09551,1.09125,1.09977,1.10402,1.10828,0.01,7390,2024-01-09 00:15:00+00:00,8284,2024-01-09 15:09:00+00:00,CLOSED,LOSS,-4.26,1.09125,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,42.6,42.6,85.1
96f5b573-6882-4d29-bca3-ef53e196378e,fca9e0de-b0bc-47a6-a43c-cfe0a2396c8c,EURUSD,BUY,2024,Asia,B,1.09056,1.08682,1.0943,1.09805,1.10179,1.09056,1.08682,1.0943,1.09805,1.10179,0.01,8829,2024-01-10 00:15:00+00:00,10134,2024-01-10 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09056,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,37.4,37.4,74.9
7507420a-a8e5-4117-9f90-c5a49d7ae7e7,20416da0-bfaf-4f86-af93-0e4c4c150e13,EURUSD,BUY,2024,London,B,1.09301,1.08875,1.09727,1.10152,1.10578,1.09301,1.08875,1.09727,1.10152,1.10578,0.01,8006,2024-01-09 10:31:00+00:00,11039,2024-01-11 13:05:00+00:00,CLOSED,BREAKEVEN,2.23,1.09321,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,42.6,42.6,85.1
53d4dfa7-6dee-4ad4-98a6-e79637588ad3,e17da488-e569-4bae-b767-22d5ff3c6653,EURUSD,BUY,2024,Asia,A,1.09306,1.08932,1.0968,1.10055,1.10429,1.09306,1.08932,1.0968,1.10055,1.10429,0.01,8829,2024-01-10 00:15:00+00:00,11039,2024-01-11 13:05:00+00:00,CLOSED,BREAKEVEN,1.97,1.09326,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,37.4,37.4,74.9
957469ec-893c-4922-87bf-0739115c5a75,7fb9f7ae-ee40-468c-abeb-c26756595abf,EURUSD,BUY,2024,Asia,A,1.09755,1.094,1.1011,1.10466,1.10821,1.09755,1.094,1.1011,1.10466,1.10821,0.01,11709,2024-01-12 00:15:00+00:00,12400,2024-01-12 11:46:00+00:00,CLOSED,LOSS,-3.55,1.094,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.1
838ada61-5ce5-4b79-a689-1c4175850d15,34b0f97a-c8f7-4422-af58-b8fb0e52f4e7,EURUSD,BUY,2024,London,B,1.09505,1.0915,1.0986,1.10216,1.10571,1.09505,1.0915,1.0986,1.10216,1.10571,0.01,12334,2024-01-12 10:40:00+00:00,12661,2024-01-12 16:07:00+00:00,CLOSED,BREAKEVEN,1.87,1.09525,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,35.5,35.5,71.1
