trade_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl_usd,tp1_usd,tp2_usd,tp3_usd,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,max_level_reached,sl_pips,tp1_pips,tp2_pips,tp3_pips,month,week_no,margin_used,score
1579d24f-320c-4191-b530-0a96878ce0c8,USDCHFm,SELL,2026,,B,0.80913,0.80971,0.80856,0.80798,0.80741,0.80913,2.87,2.82,5.68,8.5,0.04,,2026-07-01 20:33:54 IST,,2026-07-01 22:12:14 IST,CLOSED,BREAKEVEN,1.95,,BREAKEVEN,,5.750000000001032,5.7,11.5,17.2,07,27,20.0,97.9
8d65a8a9-798d-4d76-8324-1c6d17b18894,USDJPYm,SELL,2026,Asia,A,162.63,162.744,162.516,162.402,162.288,162.63,2.8,2.8,5.61,8.41,0.04,,2026-07-01 07:08:17 IST,,2026-07-01 22:12:14 IST,CLOSED,LOSS,-2.8,,LOSS,,11.4,11.4,22.8,34.2,07,27,20.0,83.5
b238203d-294e-470c-9683-40e9e69ecdcd,GBPJPYm,SELL,2026,Asia,A,215.477,215.7993,215.1547,214.8324,214.5101,215.477,7.93,7.92,15.85,23.78,0.04,,2026-07-01 06:23:12 IST,,2026-07-01 22:12:14 IST,CLOSED,LOSS,-7.71,,LOSS,,32.23,32.23,64.46,96.69,07,27,26.5,83.6
e9b04876-f9e1-4317-bc27-3ad2f4c459a8,NZDJPYm,SELL,2026,Asia,A,92.28,92.4234,92.1366,91.9932,91.8498,92.28,3.5300000000000002,3.5300000000000002,7.05,10.58,0.04,,2026-07-01 06:00:23 IST,,2026-07-01 22:12:14 IST,CLOSED,BREAKEVEN,2.02,,BREAKEVEN,,14.34,14.34,28.68,43.02,07,27,11.35,83.5
a6f73a40-cd49-4f28-b347-2dfa73eb3f20,NZDCHFm,SELL,2026,Asia,A,0.45886,0.45919,0.45853,0.4582,0.45787,0.45886,1.63,1.63,3.26,4.9,0.04,,2026-07-01 05:52:43 IST,,2026-07-01 22:12:14 IST,CLOSED,BREAKEVEN,1.31,,BREAKEVEN,,3.29,3.3,6.6,9.9,07,27,11.35,82.2
c13c3946-a7b5-40b5-acfb-d2579dd5ffd1,EURJPYm,SELL,2026,Asia,A,185.609,185.8777,185.3403,185.0716,184.8029,185.609,6.61,6.61,13.22,19.82,0.04,,2026-07-01 05:48:40 IST,,2026-07-01 22:12:14 IST,CLOSED,WIN,11.56,,WIN,,26.87,26.87,53.74,80.61,07,27,22.83,83.7
2b46cb84-c39a-469e-ba7d-b90f943ce93c,AUDJPYm,SELL,2026,Asia,A,112.408,112.5464,112.2696,112.1312,111.9928,112.408,3.41,3.41,6.8100000000000005,10.21,0.04,,2026-07-01 05:46:22 IST,,2026-07-01 22:12:14 IST,CLOSED,WIN,4.32,,WIN,,13.84,13.84,27.68,41.52,07,27,13.83,83.3
684216c4-d5fa-468d-93de-415a0f127ab9,AUDCHFm,SELL,2026,Asia,A,0.55897,0.55955,0.55839,0.5578,0.55722,0.55897,2.87,2.87,5.79,8.66,0.04,,2026-07-01 05:46:04 IST,,2026-07-01 22:12:14 IST,CLOSED,WIN,5.05,,WIN,,5.84,5.8,11.7,17.5,07,27,13.83,83.2
9053b3f6-5242-4681-b7a1-69925fae389f,USDCADm,BUY,2026,Asia,A,1.42075,1.41996,1.42154,1.42233,1.42312,1.42075,2.22,2.22,4.45,6.67,0.04,,2026-07-01 05:39:06 IST,,2026-07-01 22:12:14 IST,CLOSED,BREAKEVEN,1.43,,BREAKEVEN,,7.89,7.9,15.8,23.7,07,27,20.0,83.0
6ab0f9be-e60d-46c9-885c-b6fe5c1e13d5,AUDUSDm,SELL,2026,Asia,A,0.69118,0.69183,0.69054,0.68989,0.68924,0.69118,2.6,2.56,5.16,7.76,0.04,,2026-07-01 05:38:04 IST,,2026-07-01 22:12:14 IST,CLOSED,WIN,4.53,,WIN,,6.45,6.4,12.9,19.4,07,27,13.82,83.3
35827368-43f2-4d9e-ae70-75baf3e2a591,USDCHFm,SELL,2026,Asia,A,0.80871,0.80947,0.80795,0.80718,0.80642,0.80871,3.76,3.76,7.57,11.33,0.04,,2026-07-01 05:38:02 IST,,2026-07-01 22:12:14 IST,CLOSED,LOSS,-3.76,,LOSS,,7.63,7.6,15.3,22.9,07,27,20.0,83.1
