trade_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl_usd,tp1_usd,tp2_usd,tp3_usd,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,max_level_reached,sl_pips,tp1_pips,tp2_pips,tp3_pips,month,week_no,margin_used,score
51c3f636-547f-4f80-9d7e-8b4e31ccd086,GBPJPYm,SELL,2026,Asia,A,214.803,215.0701,214.5359,214.2688,214.0017,214.803,-7.11,7.11,14.23,21.34,0.04,344,2026-06-12 05:54:00 IST,1633,2026-06-15 03:30:00 IST,CLOSED,BREAKEVEN,2.68,214.783,breakeven,tp1,26.7,26.7,53.4,80.1,6,1.0,25.0,83.7
fa6aa56a-24c6-43a9-9dfd-50711dcfbaaf,GBPJPYm,SELL,2026,Asia,C,215.053,215.3201,214.7859,214.5188,214.2517,215.053,-7.11,7.11,14.23,21.34,0.04,,,1633,2026-06-15 03:30:00 IST,CLOSED,CANCELLED,0.0,215.053,expired_2_days,none,26.7,26.7,53.4,80.1,6,,25.0,78.7
b0e9e7a2-4d50-47a8-8efb-de9080651462,GBPJPYm,SELL,2026,London,A,215.119,215.3486,214.8894,214.6598,214.4302,215.119,-6.13,6.13,12.23,18.35,0.04,2182,2026-06-15 12:39:00 IST,2544,2026-06-15 18:41:00 IST,CLOSED,BREAKEVEN,2.32,215.099,breakeven,tp1,23.0,23.0,45.9,68.9,6,1.0,25.0,83.6
00f35901-704e-4669-b206-5d4a2027ed6c,GBPJPYm,BUY,2026,Asia,C,214.714,214.5271,214.9009,215.0878,215.2747,214.714,-4.98,4.98,9.96,14.95,0.04,3290,2026-06-16 07:12:00 IST,3376,2026-06-16 08:38:00 IST,CLOSED,LOSS,-3.48,214.5271,sl_hit,sl_hit,18.7,18.7,37.4,56.1,6,1.0,25.0,78.6
f7690a82-41eb-4faa-add9-1fd83082ada0,GBPJPYm,BUY,2026,London,A,214.964,214.7771,215.1509,215.3378,215.5247,214.964,-4.98,4.98,9.96,14.95,0.04,3619,2026-06-16 12:41:00 IST,3933,2026-06-16 17:55:00 IST,CLOSED,BREAKEVEN,1.93,214.984,breakeven,tp1,18.7,18.7,37.4,56.1,6,1.0,25.0,83.6
d81026e9-ecf5-457f-b141-ebf9b3f203e6,GBPJPYm,SELL,2026,Asia,A,215.375,215.5433,215.2067,215.0384,214.8701,215.375,-4.48,4.48,8.98,13.45,0.04,4647,2026-06-17 05:55:00 IST,5108,2026-06-17 13:36:00 IST,CLOSED,WIN,5.46,214.8701,tp3,tp3,16.8,16.8,33.7,50.5,6,1.0,25.0,83.5
01e09c27-865b-4ead-9608-4117de83edc9,GBPJPYm,SELL,2026,London Close,C,215.369,215.5986,215.1394,214.9098,214.6802,215.369,-6.13,6.13,12.23,18.35,0.04,4085,2026-06-16 20:27:00 IST,5509,2026-06-17 20:17:00 IST,CLOSED,WIN,7.46,214.6802,tp3,tp3,23.0,23.0,45.9,68.9,6,1.0,25.0,78.6
fb0a970a-c01a-46ed-8667-10022f32c43d,GBPJPYm,BUY,2026,London,A,213.605,213.3709,213.8391,214.0732,214.3073,213.605,-6.23,6.23,12.47,18.7,0.04,6482,2026-06-18 12:36:00 IST,6549,2026-06-18 13:43:00 IST,CLOSED,LOSS,-4.38,213.3709,sl_hit,sl_hit,23.4,23.4,46.8,70.2,6,1.0,25.0,83.6
ba3d9059-bbe4-4f00-925b-f7df30e7c31c,GBPJPYm,BUY,2026,London,C,213.355,213.1209,213.5891,213.8232,214.0573,213.355,-6.23,6.23,12.47,18.7,0.04,6549,2026-06-18 13:43:00 IST,6579,2026-06-18 14:13:00 IST,CLOSED,LOSS,-4.39,213.1209,sl_hit,sl_hit,23.4,23.4,46.8,70.2,6,1.0,25.0,78.6
85d11524-b0bb-4fe8-a7f4-6531ed3de825,GBPJPYm,SELL,2026,Asia,C,215.625,215.7933,215.4567,215.2884,215.1201,215.625,-4.48,4.48,8.98,13.45,0.04,,,7367,2026-06-19 03:30:00 IST,CLOSED,CANCELLED,0.0,215.625,expired_2_days,none,16.8,16.8,33.7,50.5,6,,25.0,78.5
